title,url,description,main_url,main_title,main_description,combined_description
Dental CE Courses,https://dentalzing.com/all-courses/,Popular Dental CE Course Bundles · Introduction to Dental Coding and Administration Series(4.0 CE) · Advanced Dental Billing 7 Course Series.,dentalzing.com,Home | Dental Zing On-Demand Continuing Education,"On-demand continuing dental education for every member of the practice, direct from dental industry experts, at the click of a button!","On-demand continuing dental education for every member of the practice, direct from dental industry experts, at the click of a button!"
Continuing Dental Education ( CDE,https://www.ihs.gov/dentalcde/,"This site helps personnel find and request Continuing Dental Education ( CDE ) courses, and manage the CDE process. First-Time Users. Create an IHS web account ...",www.ihs.gov,Indian Health Service | Indian Health Service (IHS),,
Continuing Education,https://dentistry.uiowa.edu/ce,The University of Iowa College of Dentistry and Dental Clinics offers a wide range of continuing education courses for dentists to fulfill professional ...,dentistry.uiowa.edu,College of Dentistry and Dental Clinics | The University of Iowa,The University of Iowa College of Dentistry and Dental Clinics provides gentle and compassionate dental care with precision excellence to new and current patients. Call 319-335-7499 to schedule an appointment.,The University of Iowa College of Dentistry and Dental Clinics provides gentle and compassionate dental care with precision excellence to new and current patients. Call 319-335-7499 to schedule an appointment.
Continuing Dental Education,https://www.midwestern.edu/academics/degrees-and-programs/doctor-of-dental-medicine-az/az-continuing-dental-education/continuing-dental-education,"Courses ; Date, Course ; April 28-30, 2023. Refresher: Local Anesthesia and Nitrous Oxide Analgesia for Licensed Dental Hygienists and Dentists ; May 22, 2023. DEA ...",www.midwestern.edu,Midwestern University - Educating Tomorrow's Healthcare Team,Healthcare education is what we do. Midwestern University is an established leader in healthcare education with an exciting vision for the future.,Healthcare education is what we do. Midwestern University is an established leader in healthcare education with an exciting vision for the future.
Continuing Dental Education Course Schedule | CDI Ohio,https://cdiohio.org/continuing-dental-education-course-schedule/,"Cleveland Dental Institute is proud to present this didactic course, designed for practitioners in all levels of experience with Esthetic Dentistry. Dozens of ...",cdiohio.org,Cleveland Dental Institute | Patient Services | Orthodontist,"At Cleveland Dental Institute - a teaching dentistry - every patient receives specialized, world-class care, right here in Northeast Ohio.","At Cleveland Dental Institute - a teaching dentistry - every patient receives specialized, world-class care, right here in Northeast Ohio."
Herman Ostrow School of Dentistry - Dental CE,https://ostrowce.usc.edu/,ADA CERP is a service of the American Dental Association to assist dental professionals in identifying quality providers of continuing dental education. ADA ...,ostrowce.usc.edu,Herman Ostrow School of Dentistry - Dental CE,,Herman Ostrow School of Dentistry - Dental CE
Continuing Education | School of Dental Medicine,https://www.unlv.edu/dental/continuing-ed,The School of Dental Medicine believes lifelong learning enhances the quality of patient care as well as the personal and professional success of dental ...,www.unlv.edu,"UNLV | University of Nevada, Las Vegas",,"UNLV | University of Nevada, Las Vegas"
On-Demand Continuing Education for Dental Professionals,https://youngdental.com/continuing-education/on-demand-learning/,Free on-demand continuing education for dental professionals. 1-hour webinars covering a wide range of emerging topics. Courses updated regularly.,youngdental.com,,,Free on-demand continuing education for dental professionals. 1-hour webinars covering a wide range of emerging topics. Courses updated regularly.
Continuing Education - Stony Brook School of Dental Medicine,https://dentistry.stonybrookmedicine.edu/coned,"Continuing Education · to maintain and improve clinical competency of dentists and dental professionals and thereby patient care; · to deliver contemporary, ...",dentistry.stonybrookmedicine.edu,Welcome to the School of Dental Medicine | Stony Brook University School of Dental Medicine,,Welcome to the School of Dental Medicine | Stony Brook University School of Dental Medicine
Continuing Education,https://www.medental.org/meetings-events/continuing-education,Having a dispute with your dentist? Oral Health Info ADA · Dental Health FAQ · Why Should I See A Dentist · What Do Dentists Do · Donated Services · Maine ...,www.medental.org,Maine Dental Association | American Dental Association,,Maine Dental Association | American Dental Association
Continuing Education - OU College of Dentistry,https://dentistry.ouhsc.edu/CE,The OU College of Dentistry provides classroom and clinical space for several of the Oklahoma Dental Foundation's continuing education courses for dental ...,dentistry.ouhsc.edu,OU College of Dentistry > Home,,OU College of Dentistry > Home
Online Dental Practice Continuing Education (C.E.) Courses,https://www.dentists-advantage.com/Prevention-Education/Online-CE-Courses/Online-Dental-Education-Courses,The presentation will highlight common dental license complaints seen in the Dentist's Advantage/CNA program made to the State Board of Dentistry. This session ...,www.dentists-advantage.com,Dental Malpractice Insurance for Dentists | Dentist's Advantage,,Dental Malpractice Insurance for Dentists | Dentist's Advantage
Online CE,https://www.nysdentalfoundation.org/online-ce.html,"HIV Oral Health Preceptorships are available for dentists, dental hygienists and primary care clinicians in New York and New Jersey. These programs are ...",www.nysdentalfoundation.org,Home,"The New York State Dental Foundation is committed to improving the oral health of all New Yorkers, and supporting outreach to communities in need.","The New York State Dental Foundation is committed to improving the oral health of all New Yorkers, and supporting outreach to communities in need."
Continuing Education - Dentist CE,https://tsbde.texas.gov/licensing/dentists/dentist-continuing-education/,"Effective January 1, 2021, a licensed dentist whose practice includes direct patient care must complete at least four (4) CE hours for each biennial renewal, ...",tsbde.texas.gov,Texas State Board of Dental Examiners,,Texas State Board of Dental Examiners
Continuing Education - Penn Dental Medicine,https://www.dental.upenn.edu/continuing-education/,"With a commitment to advancing quality and leadership in lifelong learning, Penn Dental Medicine is reimagining its continuing education program, ...",www.dental.upenn.edu,Penn Dental Medicine,,Penn Dental Medicine
"Continuing Education Courses | Ft Lauderdale, Florida | NSU",https://dental.nova.edu/ce/courses/index.html,"Please note, Health Care Team category is designated for non-dentists working in a dental office or dental industry. View CE Courses.",dental.nova.edu,College of Dental Medicine | Nova Southeastern University,,College of Dental Medicine | Nova Southeastern University
Office of Continuing Dental Education |,https://noncredit.temple.edu/cde,Continuing Dental Education. To develop and enhance a continuing education program for Temple University Kornberg School of Dentistry consisting of ...,noncredit.temple.edu,Home |         Temple University,,Home |         Temple University
Continuing Education | MSDA,https://msda.com/continuing-education/,"This course is designed to educate dentists, dental hygienists, dental assistants and others about the problems of child abuse and neglect, domestic violence, ...",msda.com,MSDA | Maryland State Dental Association,,MSDA | Maryland State Dental Association
Continuing Dental Education | Jersey Shore University ...,https://www.hackensackmeridianhealth.org/en/healthcare-professionals/jsumc/continuing-dental-education,Welcome to the Jersey Shore University Medical Center Department of Dentistry Continuing Dental Education Program ... Here you can find out information on all of ...,www.hackensackmeridianhealth.org,Hackensack Meridian Health,,Hackensack Meridian Health
"2023 CE Courses for Dental Sleep Medicine, TMD, ...",https://niermanpm.com/dental-continuing-education/schedule,"2023 CE Courses for. Dental Sleep Medicine, TMD, and Medical Billing for Dentistry. Renowned live & online courses for dentists & team ...",niermanpm.com,Dental Sleep Medicine Software and Medical Billing Service for Dentists,"Nierman Practice Management is the leader in dental sleep medicine and medical billing services, software, and CE course solutions.","Nierman Practice Management is the leader in dental sleep medicine and medical billing services, software, and CE course solutions."
NYSDA Continuing Education (CE) Registry,https://www.nysdental.org/member-center/ce,The NYSDA Continuing Education (CE) Registry · New Dentists in First Year of Practice · Licensed Dentists · Dental Anesthesia and Sedation · Responsible Opioid ...,www.nysdental.org,New York State Dental | American Dental Association,,New York State Dental | American Dental Association
Available CE Courses,http://padental.org/PDA22/Continuing_Education/Available_CECourses.aspx,"Item 1 - 10 of 11 — CBVT and Beyond, Advanced Diagnostic Imaging in Dentistry ... Pitt Continuing Education Courses ... 3 Rivers Dental Conference. Farmington.",padental.org,Homepage,,Homepage
"Find a Course, Continuing Dental Education, School of ...",https://smile.uthscsa.edu/findacourse.php,"Upcoming courses ; Opioid Use and Misuse: What Dentists Should Know · August 15, 2023, Ernest B. Luce, DDS ; Responsible Dental Prescriber - Analgesic Prescribing ...",smile.uthscsa.edu,"Home, Continuing Dental Education, School of Dentistry, UT Health San Antonio",,"Home, Continuing Dental Education, School of Dentistry, UT Health San Antonio"
Dental Continuing Education,https://www.nhti.edu/business-training-center/dental-continuing-education/,Medical Management in Public Health Settings; Evidence Based Dentistry; Caries Stabilization. NHTI dental students work on patient.,www.nhti.edu,Site is offline,,Site is offline
"MyDentalCE.com Home | Dental Online CE for DDS, RDH, DA ...",https://www.mydentalce.com/,Online CE Dental Courses for OSHA training and license renewal. ... Current and quality courses for dentists; MyDentalCE.com Customer Service (530) 238-5333 ...,www.mydentalce.com,"MyDentalCE.com Home | Dental Online CE for DDS, RDH, DA, Office Staff",   ,   
Hands-On Online Dental CE,https://www.handsonlinelive.com/,"LIVE, Interactive Dental Education Delivered OnLine · Learn online LIVE with the world's best instructors without leaving your office! · Learn on your own ...",www.handsonlinelive.com,Hands-On Online Dental CE,Hands-OnLine LIVE is dental hands-on Continuing Education delivered On-Demand and Live with the industry's top educators. Technique Kits included. Join now.,Hands-OnLine LIVE is dental hands-on Continuing Education delivered On-Demand and Live with the industry's top educators. Technique Kits included. Join now.
Continuing Education,https://dentalboard.org/professionals/continuing-education/,How many CEs are required for a Dentist? · Dentists are required to have 20 hrs of CEs yearly · Up to 10 hours can be online/journals/publications · CPR and ...,dentalboard.org,Board of Dental Examiners of Alabama,,Board of Dental Examiners of Alabama
Continuing Education | University of Detroit Mercy,https://dental.udmercy.edu/ce/index.php,"The Institute for Advanced Continuing Dental Education at the University of Detroit Mercy School of Dentistry offers quality evidence-based, clinically relevant ...",dental.udmercy.edu,School of Dentistry | University of Detroit Mercy,,School of Dentistry | University of Detroit Mercy
Continuing Education - School of Dentistry | School of ...,https://ce.dentistry.vcu.edu/,"Dentist cleaning a child's teeth. Start learning today, register for CE. The VCU School of Dentistry produces VA State dental board approved CE courses in a ...",ce.dentistry.vcu.edu,Continuing Education - School of Dentistry | School of Dentistry | CE Learning Center | Virginia Commonwealth University,,Continuing Education - School of Dentistry | School of Dentistry | CE Learning Center | Virginia Commonwealth University
Dentistry CE,https://www.creighton.edu/continuing-professional/continuing-education/dentistry,"Earn Dental Continuing Education Credits. We offer the gold standard in continuing education programs for dentists, dental hygienists and dental assistants.",www.creighton.edu,"Creighton University | A private, Jesuit university in Omaha, NE",,"Creighton University | A private, Jesuit university in Omaha, NE"
DENTAL CE COURSES FLORIDA,https://struppbrummseminars.com/dental-ce-courses-florida/,"Still, others and their families, have become patients throughout the years. They are truly The Dentists' Dentist! MEET DR. STRUPP.",struppbrummseminars.com,CONTINUING EDUCATION SEMINARS FOR DENTISTS – Strupp and Brumm Continuing Education Seminars For Dentists. Visit Us For Upcoming Seminar Dates and Locations,,CONTINUING EDUCATION SEMINARS FOR DENTISTS – Strupp and Brumm Continuing Education Seminars For Dentists. Visit Us For Upcoming Seminar Dates and Locations
Evaluate Courses for CE Credit,https://www.dcdental.org/meetings/ce,"The D.C. Dental Society uses an online evaluation system for all continuing education events. In order to get CE credit, all attendees must complete the ...",www.dcdental.org,District of Columbia Dental Society,,District of Columbia Dental Society
Dental Health Education Courses,https://www.usa.philips.com/c-m-pe/dental-professionals/resources_and_education/professional-education,Philips Oral Healthcare continuing education courses ... Philips Oral Healthcare offers online continuing dental education courses on a variety of topics ranging ...,www.usa.philips.com,Philips - United States | Philips,"Learn more about Philips and how we help improve people’s lives through meaningful innovation in the areas of Healthcare, Consumer Lifestyle and Lighting.","Learn more about Philips and how we help improve people’s lives through meaningful innovation in the areas of Healthcare, Consumer Lifestyle and Lighting."
Koerner Center Oral Surgery Continuing Education: Courses ...,https://koernercenter.com/,"Yet, most patients would like their dentist to perform as many procedures as possible “in-house”, especially extractions. KCSI helps dentists quickly gain ...",koernercenter.com,Courses for General Dentists - Koerner Center Oral Surgery Continuing Education,"Become more proficient and faster with “surgical extractions” and other dentoalveolar surgery. Yes, we need and appreciate dental specialists.","Become more proficient and faster with “surgical extractions” and other dentoalveolar surgery. Yes, we need and appreciate dental specialists."
TDA Continuing Education,https://www.tda.org/meetings-events/tda-continuing-education,"ADA CERP does not approve nor endorse individual courses or instructors, nor does it imply acceptance of credit hours by boards of dentistry. TDA designates ...",www.tda.org,Texas Dental Association | American Dental Association,,Texas Dental Association | American Dental Association
Today's RDH Dental CE Courses,https://dentalce.todaysrdh.com/,"Quality, peer-reviewed, CE courses for dental hygienists and other dental professionals. All courses are available to take any time, on-demand.",dentalce.todaysrdh.com,Today's RDH Dental CE Courses | Today's RDH Dental CE Courses,Today's RDH dental CE courses. Continuing Education (CE) courses for dental hygienists.,Today's RDH dental CE courses. Continuing Education (CE) courses for dental hygienists.
Continuing Education Requirements,https://www.cda.org/Home/Education-and-Events/Ongoing-Education/CE-Requirements,Mandatory Courses for Licensees · A two-unit course on the responsibilities and requirements of prescribing Schedule II opioids (dentist-only requirement) · A ...,www.cda.org,California Dental Association (CDA),,California Dental Association (CDA)
Continuing Education Learning Lab,https://www.haleonhealthpartner.com/en-us/learning-lab/continuing-education/,"Free Dental CE Modules. Check out the following webinar and e-book dental continuing education content, proudly sponsored by the Haleon Grants Program.",www.haleonhealthpartner.com,Resources For Health Professionals | Haleon HealthPartner,"Learn about Haleon HealthPartner, which develops and markets consumer preferred and expert recommended brands in oral health, pain relief and more.","Learn about Haleon HealthPartner, which develops and markets consumer preferred and expert recommended brands in oral health, pain relief and more."
Continuing Dental Education,https://fresno.ucsf.edu/continuing-dental-education,"Baker, DDS and has been providing Continuing Dental Education courses since 1973. The goal of this program is to provide dentists, technicians, hygienists, ...",fresno.ucsf.edu,UCSF Fresno |,,UCSF Fresno |
2023 Dental Continuing Education Courses - Collier Advisors,https://www.collieradvisors.com/dental-ce-courses/,"When attending live, the courses are interactive, allowing for real-time Q&A with the presenter(s). Thousands of private practice dentists, veterinarians, and ...",www.collieradvisors.com,"Practice Transitions Consultation | Dental Practice Transitions - Collier & Associates, Inc.","National dental practice transitions attorneys specializing in tax planning, practice transitions, practice appraisals, contracts, and retirement plans. National dental practice transitions attorneys specializing in tax planning, practice transitions, practice appraisals, contracts, and retirement plans.","National dental practice transitions attorneys specializing in tax planning, practice transitions, practice appraisals, contracts, and retirement plans. National dental practice transitions attorneys specializing in tax planning, practice transitions, practice appraisals, contracts, and retirement plans."
NYS Dentistry:Continuing Education - Office of the Professions,https://www.op.nysed.gov/professions/dentists/continuing-education-q-a,"Aug 31, 2020 — Questions and Answers for Dentists and Dental Hygienists. General Information. The continuing education requirement for dentists will be ...",www.op.nysed.gov,Office of the Professions | Office of the Professions,,Office of the Professions | Office of the Professions
"Course Descriptions - University of Maryland, Baltimore",https://www.dental.umaryland.edu/ce/course-descriptions/,"In partnership with the Maryland State Board of Dental Examiners, the University of Maryland School of Dentistry is offering the continuing education course "" ...",www.dental.umaryland.edu,"University of Maryland School of Dentistry - University of Maryland, Baltimore","The University of Maryland, Baltimore (UMB) is the state’s public health, law, and human services university devoted to excellence in professional and graduate education, research, patient care, and public service.","The University of Maryland, Baltimore (UMB) is the state’s public health, law, and human services university devoted to excellence in professional and graduate education, research, patient care, and public service."
Continuing Education,https://www.njda.org/continuing-education-events/event-details,"Why choose an NJDA Dentist? Dental Clinics & Programs · For Teachers, Homeschoolers & Care Givers · Special Olympics Provider List · Mouth Healthy · Dental ...",www.njda.org,New Jersey Dental Association | American Dental Association,,New Jersey Dental Association | American Dental Association
Dental CE Training,https://www.dentalcetraining.com/,"We provide ""real-world"" continuing education in the fields of live patient implant training, cosmetic dentistry, implant prosthetics, dental practice management ...",www.dentalcetraining.com,Dallas Live Patient Implant Training | Live Patient Implant Training in Dallas | Houston CE Training for dentists | San Antonio Live Hands On Implant Training,"Dallas Live Patient Implant Training. Dr. Marcus Lastimado provides Dental CE Training, Live Hands On Implant Training, Dental Implant Training, Cosmetic Training, and Advanced Dental Training to the following locations: Houston, San Antonio, Austin, Plano.","Dallas Live Patient Implant Training. Dr. Marcus Lastimado provides Dental CE Training, Live Hands On Implant Training, Dental Implant Training, Cosmetic Training, and Advanced Dental Training to the following locations: Houston, San Antonio, Austin, Plano."
Continuing Education for Dental Health Professionals,https://www.deltadental.foundation/ce-courses-seminars,"Dentists completing 18 or more of the courses within a three-year period will receive a certificate of completion from Penn Dental Medicine, an ADA CERP ...",www.deltadental.foundation,"Delta Dental Foundation | An Affiliate of Delta Dental MI, OH, IN & NC",,
SDDS Continuing Education Courses | OSHA,https://www.sdds.org/continuing-education/courses/,"May 24, 2023 — The Sacramento District Dental Society offers monthly programs for Sacramento area dentists to stay up to date on the latest in dentistry ...",www.sdds.org,Sacramento District Dental Society | Sacramento Dentists | Sacramento Dental Events,"Welcome to the Sacramento District Dental Society and Foundation. We are the society for Sacramento Dentists serving the county and surrounding areas of Amador, El Dorado, Placer and Yolo counties.","Welcome to the Sacramento District Dental Society and Foundation. We are the society for Sacramento Dentists serving the county and surrounding areas of Amador, El Dorado, Placer and Yolo counties."
Lecture Courses | School of Dentistry,https://dentistry.llu.edu/continuing-education/lecture-courses,"Welcome to Loma Linda University School of Dentistry Continuing Education. We are pleased to offer our programs to all oral health professionals, ...",dentistry.llu.edu,School of Dentistry | Loma Linda University,,School of Dentistry | Loma Linda University
Clinical Mastery Series: Dental Continuing Education,https://clinicalmastery.com/,"Dental Continuing Education ... Not Sure Where to Start? Explore Clinical Mastery Series' Courses, Workshops, & Retreats! ... U01: Mastering Functional Dentistry.",clinicalmastery.com,Dental Continuing Education | Clinical Mastery Series,Clinical Mastery offers the best in dental continuing education and specialized dental courses. Call us to set up your training today!,Clinical Mastery offers the best in dental continuing education and specialized dental courses. Call us to set up your training today!
Continuing Education - Texas A&M School of Dentistry,https://dentistry.tamu.edu/ce/index.html,"Lectures, seminars and electronic distance learning about topics of current interest to dentists and dental auxiliaries are taught by dental school faculty and ...",dentistry.tamu.edu,Texas A&M School of Dentistry,,Texas A&M School of Dentistry
Continuing Education - School of Dentistry,https://www.marquette.edu/dentistry/professionals/continuing-education.php,The Marquette University School of Dentistry offers year-round courses for dental professionals in almost all phases of dentistry. Continuing education ...,www.marquette.edu,Marquette University // Be The Difference,"Are you looking for a new opportunity where you can make the difference in the lives of students and faculty? We’re always looking for highly talented individuals to join our team - people who think big, care deeply, and believe in being the difference in their work and community. ","Are you looking for a new opportunity where you can make the difference in the lives of students and faculty? We’re always looking for highly talented individuals to join our team - people who think big, care deeply, and believe in being the difference in their work and community. "
Dental Hygiene Continuing Education Courses,https://ucblueash.edu/academics/majors/health-care/dental-hygiene/continuing-education-courses.html,This course has been designed for both dental hygienists and dentists to learn about and experience hands on biofilm removal using low abrasive powder air ...,ucblueash.edu,UC Blue Ash College | University of Cincinnati,,UC Blue Ash College | University of Cincinnati
Continuing Education,https://cdaaweb.org/continuing-education/,"Welcome to our CE courses, which are designed specifically for dental assistants – to help you learn, grow and become more valuable!",cdaaweb.org,California Dental Assistants Association – CDAA,,California Dental Assistants Association – CDAA
Dental - Homestead Schools INC.,https://www.homesteadschools.com/dental/,Continuing Education Courses for Dental Personnel. Now you can select from a wide assortment of C.E. courses. You study at your own pace at your convenience ...,www.homesteadschools.com,Homestead Schools Inc – Online Educational Courses,"Homestead Schools, Inc formed in 1991 is an organization dedicated to meeting the educational needs of professionals from various disciplines, students, and consumers. The need for this constant education has become even more acute in the last few years with the explosion of information. Contact us.","Homestead Schools, Inc formed in 1991 is an organization dedicated to meeting the educational needs of professionals from various disciplines, students, and consumers. The need for this constant education has become even more acute in the last few years with the explosion of information. Contact us."
Continuing Education,https://doh.wa.gov/licenses-permits-and-certificates/professions-new-renew-or-update/dentist/continuing-education,"Summary of continuing education required for licensed dentists ; General anesthesia permit, 18 hours ; Dentist suicide prevention education ; Dentist opioid ...",doh.wa.gov,| Washington State Department of Health,,| Washington State Department of Health
Continuing Education,https://www.med.navy.mil/Naval-Medical-Leader-and-Professional-Development-Command/Naval-Postgraduate-Dental-School/Continuing-Education/,Courses are open to dental officers of the Uniformed Services and civilian dentists employed by federal agencies. Non-Federal civilian dentists are no longer ...,www.med.navy.mil,Home,,Home
Upcoming continuing education courses,https://www1.deltadentalins.com/dentists/fyi-online/2022/october-continuing-education-2022.html,"Oct 29, 2022, Nova Southeastern University | College of Dental Medicine, Using Risk Assessment for Treatment Planning In Dentistry (PDF) ; Nov 2022, Columbia ...",www1.deltadentalins.com,Plans for individuals and groups | Delta Dental,"Looking to buy dental insurance? Or, trying to find a network dentist? Delta Dental is a trusted dental benefits provider, offering individual and group dental plans.","Looking to buy dental insurance? Or, trying to find a network dentist? Delta Dental is a trusted dental benefits provider, offering individual and group dental plans."
CE Course | WLA Dental,https://westernlads.org/product-category/ce-course/,CE Course. Showing all 5 results ... Dental Infection Control / OSHA & California Dental Practice Act and Ethics ... New Dentist & Student Roundtable.,westernlads.org,WLA Dental | WLADS Dental,,WLA Dental | WLADS Dental
Continuing Education,https://www.lmunet.edu/college-of-dental-medicine/continuing-education,All certification courses have been approved by the Tennessee Board of Dentistry. General CE Course Pricing: $50.00 - Dentist. $25.00 - Hygienist. $25.00 - ...,www.lmunet.edu,Home | LMU,,Home | LMU
Dentistry Today CE: Home,https://www.dentalcetoday.com/,"Search all courses. Dentistry Today's Continuing Education (CE) Program aims to provide accurate, science-based information of clinical relevance in a ...",www.dentalcetoday.com,Home | Dentistry Today CE, , 
Continuing Dental Education | School of Medicine,https://hsc.unm.edu/medicine/departments/dental-medicine/continuing-dental-education/,"The department is committed to providing continuing dental education (CDE) to practicing dental hygienists, dentists, dental technicians and dental assistants ...",hsc.unm.edu,UNM Health Sciences Center,,UNM Health Sciences Center
DHP Continuing Education Goals,https://www.colgateprofessional.com/hygienist-resources/tools-resources/dental-hygienist-continuing-education-goals,"Oct 31, 2016 — Find Convenient Courses. A good percentage of professionals seek to complete their dental hygienist CE credits at annual dental conferences held ...",www.colgateprofessional.com,Home,"Find the latest information on dental and oral health care. Explore our library of educational materials, patient resources, and continuing education materials.","Find the latest information on dental and oral health care. Explore our library of educational materials, patient resources, and continuing education materials."
"Advanced Dental Institute - Dental CE Courses - Henderson, NV",https://advanceddentalce.org/,"Advanced Dental Institute will provide the highest quality, clinically relevant courses for dentists and related oral health care providers. These courses will ...",advanceddentalce.org,"Advanced Dental Institute - Dental CE Courses - Henderson, NV",Advanced Dental Institute will promote the personal success and the professional improvement of knowledge and skills for all dental health care providers by presenting the best scientific evidence available in conjunction with clinical expertise.,Advanced Dental Institute will promote the personal success and the professional improvement of knowledge and skills for all dental health care providers by presenting the best scientific evidence available in conjunction with clinical expertise.
"The MOD Institute | Transformative Dental CE in Charleston, SC",https://www.themodinstitute.com/,"Explore dental CE courses in CAD/CAM dentistry, 3D imaging, 3 Dprinting and milling, implantology and other topics in digital dentistry.",www.themodinstitute.com,"The MOD Institute | Transformative Dental CE in Charleston, SC","Explore dental CE courses in CAD/CAM dentistry, 3D imaging, 3 Dprinting and milling, implantology and other topics in digital dentistry.","Explore dental CE courses in CAD/CAM dentistry, 3D imaging, 3 Dprinting and milling, implantology and other topics in digital dentistry."
"BDG Think Tank | Dental CE Courses in Las Vegas, NV ...",https://bdgthinktank.com/,"Dental CE Courses ; Soft Tissue Surgery Course with Dr. Ricardo Kern · $4,750.00 ; Lateralization & Transposition with Dr. Pedro Barreiros · $8,499.00 ; Take this ...",bdgthinktank.com,"BDG Think Tank | Dental CE Courses in Las Vegas, NV – BDGThinkTank","BDG Think Tank provides access to relevant and innovative CE opportunities for both new and experienced clinicians in Las Vegas, NV. New courses added monthly, we offer dental webinars, didactic/lecture based courses and even hands-on and live surgery courses.","BDG Think Tank provides access to relevant and innovative CE opportunities for both new and experienced clinicians in Las Vegas, NV. New courses added monthly, we offer dental webinars, didactic/lecture based courses and even hands-on and live surgery courses."
XCEL SEMINARS: Continuing Dental Education,https://www.xcelseminars.com/,"Dentists who want to stay on top of their game need to be on the cutting-edge of the many changes, enhancements, and new trends within dentistry. We provide a ...",www.xcelseminars.com,Continuing Dental Education | XCEL SEMINARS,,Continuing Dental Education | XCEL SEMINARS
Continuing Education,https://www.ncdentalboard.org/continuing_education.htm,"Yes, a dentist or dental hygienist who is a full-time faculty member in a dental, dental hygiene or dental assisting school may receive credit (Dentists: 10 hrs ...",www.ncdentalboard.org,,,"Yes, a dentist or dental hygienist who is a full-time faculty member in a dental, dental hygiene or dental assisting school may receive credit (Dentists: 10 hrs ..."
Continuing Dental Education,https://www.augusta.edu/dentalmedicine/cde/,DCG CE Course Offerings ... ADA CERP is a service of the American Dental Association to assist dental professionals in identifying quality providers of ...,www.augusta.edu,Augusta University,"Located in Augusta, Georgia, Augusta University is a public research university and medical center dedicated to training the next generation of innovators, leaders and health care providers.","Located in Augusta, Georgia, Augusta University is a public research university and medical center dedicated to training the next generation of innovators, leaders and health care providers."
Continuing Education | College of Dentistry,https://www.uthsc.edu/dentistry/ce/,"Apr 27, 2023 — The University of Tennessee Health Science Center College of Dentistry- Office of Continuing Dental Education is an ADA CERP Recognized Provider ...",www.uthsc.edu,The University of Tennessee Health Science Center (UTHSC),"Established in 1911, The University of Tennessee Health Science Center aims to improve human health through education, research, clinical care and public service. The UT Health Science Center campuses include colleges of Dentistry, Graduate Health Sciences, Health Professions, Medicine, Nursing and Pharmacy. Patient care, professional education and research are carried out at hospitals and other clinical sites across Tennessee. Endowed professorships, Research Centers of Excellence, and continuing relationships with research and healthcare facilities across Tennessee ensure that both basic science and applied research stay focused on contemporary health topics.","Established in 1911, The University of Tennessee Health Science Center aims to improve human health through education, research, clinical care and public service. The UT Health Science Center campuses include colleges of Dentistry, Graduate Health Sciences, Health Professions, Medicine, Nursing and Pharmacy. Patient care, professional education and research are carried out at hospitals and other clinical sites across Tennessee. Endowed professorships, Research Centers of Excellence, and continuing relationships with research and healthcare facilities across Tennessee ensure that both basic science and applied research stay focused on contemporary health topics."
CE Courses - Dimensions of Dental Hygiene | Magazine,https://dimensionsofdentalhygiene.com/ce/ce-courses/,Help Your Patients Achieve a Beautiful Smile · Treating Patients With Postural Orthostatic Tachycardia Syndrome · Expanding Applications for Dental Implants.,dimensionsofdentalhygiene.com,Dimensions of Dental Hygiene Magazine for Registered Dental Hygienists,A peer-reviewed journal that reconnects practicing dental hygienists with the nation’s leading educations and researchers.,A peer-reviewed journal that reconnects practicing dental hygienists with the nation’s leading educations and researchers.
About Our Free CE - OSU College of Dentistry,https://dentistry.osu.edu/sterilization-monitoring-service/sms-continuing-education,"Effective April 2023*, the total CE hours required by the OSDB has been reduced for dentists and hygienists. Earn 16 of 30 required credits as a dentist and 16 ...",dentistry.osu.edu,OSU College of Dentistry,,OSU College of Dentistry
American Academy of Cosmetic Dentistry | Dental CE Courses,https://aacd.com/,- What are some must-have dental tools for 2023? - How do I grow my profit margin? - Should my practice focus more on cosmetic dentistry? - Where is the ...,aacd.com,American Academy of Cosmetic Dentistry | Dental CE Courses,,American Academy of Cosmetic Dentistry | Dental CE Courses
Continuing Education | The College of Dentistry,https://dentistry.uky.edu/continuing-education,"Feb 10, 2023 — Our mission is to provide professional growth opportunities and quality lifelong learning educational opportunities for dentists, dental ...",dentistry.uky.edu,,,"Feb 10, 2023 — Our mission is to provide professional growth opportunities and quality lifelong learning educational opportunities for dentists, dental ..."
South Beach Dental Institute,https://sobedental.com/,"Jun 19, 2023 — As a pivotal source of continuing education in dentistry, we are devoted to providing an array of specialized courses that aid practitioners ...",sobedental.com,,,"Jun 19, 2023 — As a pivotal source of continuing education in dentistry, we are devoted to providing an array of specialized courses that aid practitioners ..."
Professional Learning Services – Quality Education Services ...,https://pls.org/,PLS is an ADA CERP Recognized Provider of dental continuing education (May 2011 – December 2025). ADA CERP is a service of the American Dental Association to ...,pls.org,Professional Learning Services – Quality Education Services for Dental Professionals since 1987,,Professional Learning Services – Quality Education Services for Dental Professionals since 1987
Continuing Dental Education - Dental CE,https://glidewelldirect.com/collections/education,"Glidewell Clinical Education provides dental professionals with impactful, ... modern implant and restorative dentistry, with hands-on courses and in-depth ...",glidewelldirect.com,Glidewell Direct - Buy Dental Lab Products - Buy Dental Equipment,"Glidewell Direct, based in Irvine, California is a distributor of high-quality dental laboratory products to dentists and laboratory professionals nationwide.","Glidewell Direct, based in Irvine, California is a distributor of high-quality dental laboratory products to dentists and laboratory professionals nationwide."
