Title,Group Offers?,Description,main_title,CE Course URL,main_url,description
OHG , True , an umbrella company providing a range of dental continuing education courses for Canadian dentists and other oral health professionals.,Home - Oral Health Group,https://www.oralhealthgroup.com/features/trends-in-dental-ce-courses-shed-light-on-industry-divide/,www.oralhealthgroup.com,"Aug 31, 2018 — It's probably no surprise that 71.3 per cent of Canadian dentists* have taken cosmetic/restorative dentistry CE courses in the last two ..."
OklaDenta , True ," The Oklahoma Dental Association which provides Continuing Education courses for dentists, dental hygienists, and dental assistants.",Keeping Dentistry Strong in Oklahoma | Oklahoma Dental Association,https://www.okda.org/events/,www.okda.org,Continuing Education · Need CE? We've got you covered! · Check out our upcoming CE Courses · Are you a Member? · Dental Assistant & Hygiene Courses · JADA Online CE.
OHSU , True , Oregon Health & Science University School of Dentistry offers Continuing Education courses for dentists and dental hygienists.,OHSU | Healing Begins with Discovery,https://www.ohsu.edu/education/continuing-education,www.ohsu.edu,The School of Dentistry has one of the most active continuing dental education programs in the U.S. It offers: 78 one- and two-day courses (many of which ...
Henry Schein , True ," National wholesale distributor of dental and medical supplies, offering dental seminars for continuing education.",Dental Supplies and Medical Supplies - Henry Schein,https://www.henryschein.com/dental-seminar.aspx,www.henryschein.com,"Henry Schein Dental offers dental seminars for continuing education, dental conventions & meetings, and dental business training to help grow your practice!"
Home Study Solutions , True ," Online continuing education provider offering courses that meet the requirements for dental CE for dentists, dental assistants, and dental hygienists.",Home Study Solutions-Your Continuing Education Provider,https://www.homestudysolutions.com/continuing-education-online-classes.asp,www.homestudysolutions.com,"We offer courses which meet the requirements for online dental ce including dentists, dental education dental assistants continuing education dental hygienists ..."
Indian Health Service (IHS) , True , Federal health program dedicated to providing specialized healthcare services to American Indians and Alaska Natives. Offers Continuing Dental Education (CDE) courses to personnel.,Indian Health Service | Indian Health Service (IHS),https://www.ihs.gov/dentalcde/,www.ihs.gov,"This site helps personnel find and request Continuing Dental Education ( CDE ) courses, and manage the CDE process. First-Time Users. Create an IHS web account ..."
IDS | ADA CE , True , Offering multiple Continuing Education courses for dentists and dental hygienists to meet Illinois license requirements.,Illinois Dental Society | American Dental Association,https://www.isds.org/continuing-education,www.isds.org,Continuing Education · Illinois License Requirements · ISDS CE Library · Dental Auxiliary Courses · Opioids · Monthly Webinar Series.
KerrDental , True , Online dental supplies business offering dental courses and hands-on events for general dentists and specialists.,Dental Supplies - Dental Products | KerrDental.com,https://www.kerrdental.com/dental-courses-and-events,www.kerrdental.com,Kerr's dental courses and events: a full schedule of activities designed to meet your ... This one-day hands-on course is designed for general dentists and ...
LMU , True , Lousiana Medical University offering CE courses for dentists and dental hygienists.,Home | LMU,https://www.lmunet.edu/college-of-dental-medicine/continuing-education,www.lmunet.edu,All certification courses have been approved by the Tennessee Board of Dentistry. General CE Course Pricing: $50.00 - Dentist. $25.00 - Hygienist. $25.00 - ...
LSBD , True , Louisiana State Board of Dentistry accepting proof of licensees continuing education submission online through CE Broker.,Louisiana State Board of Dentistry - Home,http://www.lsbd.org/conted.htm,www.lsbd.org,The Louisiana State Board of Dentistry accepts proof of licensees' continuing education submitted online through CE Broker. CE Broker will keep a record of ...
Marquette Univ. , True , Marquette University School of Dentistry offering year-round courses for dental professionals in almost all phases of dentistry.,Marquette University // Be The Difference,https://www.marquette.edu/dentistry/professionals/continuing-education.php,www.marquette.edu,The Marquette University School of Dentistry offers year-round courses for dental professionals in almost all phases of dentistry. Continuing education ...
Midwestern Univ. , True , Institution of higher education offering both CE and refresher courses for dental hygienists and dentists.,Midwestern University - Educating Tomorrow's Healthcare Team,https://www.midwestern.edu/academics/degrees-and-programs/doctor-of-dental-medicine-az/az-continuing-dental-education/continuing-dental-education,www.midwestern.edu,"Courses ; Date, Course ; April 28-30, 2023. Refresher: Local Anesthesia and Nitrous Oxide Analgesia for Licensed Dental Hygienists and Dentists ; May 22, 2023. DEA ..."
MyDentalCE.com , True ," Online CE Dental Courses for OSHA training and license renewal, as well as current and quality courses for dentists.","MyDentalCE.com Home | Dental Online CE for DDS, RDH, DA, Office Staff",https://www.mydentalce.com/,www.mydentalce.com,Online CE Dental Courses for OSHA training and license renewal. ... Current and quality courses for dentists; MyDentalCE.com Customer Service (530) 238-5333 ...
UIC , True ," College of Dentistry at the University of Illinois Chicago, offering CE courses for dentists and dental hygienists.",,https://www.ncdentalboard.org/continuing_education.htm,www.ncdentalboard.org,"Yes, a dentist or dental hygienist who is a full-time faculty member in a dental, dental hygiene or dental assisting school may receive credit (Dentists: 10 hrs ..."
NHTI , True ," New Hampshire Technical Institute, providing CE courses and hands-on patient care experience for dental students.",Site is offline,https://www.nhti.edu/business-training-center/dental-continuing-education/,www.nhti.edu,Medical Management in Public Health Settings; Evidence Based Dentistry; Caries Stabilization. NHTI dental students work on patient.
NCC , True ," A leader in continuing education for professionals in dental teams, providing educational programs and certificates in Dental Teams Continuing Education, Business and Leadership Development, Corporate and Public Safety, Healthcare, BLS/CPR/First Aid, and Career Training.",One of PA's Most Affordable Colleges | NCC,https://www.northampton.edu/business-training-and-leadership-development/healthcare/dental-teams-continuing-education.htm,www.northampton.edu,Dental Teams Continuing Education · Business and Leadership Development · Corporate and Public Safety · Healthcare · BLS/CPR/First Aid · Career Training ...
NYSDA , True ," New York State Dental's Continuing Education (CE) Registry offers CE courses for all dentists, licensed dentists, and those in their first year of practice, as well as Dental Anesthesia and Responsible Opioid Prescribing coursework.",New York State Dental | American Dental Association,https://www.nysdental.org/member-center/ce,www.nysdental.org,The NYSDA Continuing Education (CE) Registry · New Dentists in First Year of Practice · Licensed Dentists · Dental Anesthesia and Sedation · Responsible Opioid ...
HHOHP , True ," Home HIV Oral Health Preceptorships offers CE courses for dentists, dental hygienists and primary care clinicians in New York and New Jersey.",Home,https://www.nysdentalfoundation.org/online-ce.html,www.nysdentalfoundation.org,"HIV Oral Health Preceptorships are available for dentists, dental hygienists and primary care clinicians in New York and New Jersey. These programs are ..."
MDS , True , The Massachusetts Dental Society (MDS) sometimes offers continuing education webinars for members and their staff.,MDS Members | Massachusetts Dental Society,https://www.massdental.org/Learning,www.massdental.org,Online Learning: CE ... The Massachusetts Dental Society (MDS) sometimes offers continuing education webinars for our members and their staff to help them fulfill ...
CareQuest , True ," CareQuest Institute for Oral Health provides CE courses for dental and medical professionals, students, and community partners.",CareQuest Institute for Oral Health,https://www.carequest.org/education,www.carequest.org,"We educate dental and medical professionals, students, and community partners who are committed to attaining the knowledge and skills required to improve their ..."
College of DuPage , True , Community college offering CE courses for dental assistants and dental hygienists.,College of DuPage | College of DuPage,https://www.cod.edu/academics/continuing-education/career-professional-training/health-wellness/dental/dental-continuing-education.aspx,www.cod.edu,Dental Assistant: Coronal Polish and Fissure Sealant Course Dental Hygiene: Four-Day Local Anesthesia Clinical Course.
UIC , True , University of Illinois Chicago College of Dentistry offering CE courses for dentists and dental hygienists.,Homepage | Dentistry,https://dentistry.howard.edu/education/continuing-education,dentistry.howard.edu,"Continuing Education | Other ... The College of Dentistry offers this program to dentists, dental hygienists, and dental assistants in an effort to assist them in ..."
LLU , True , Loma Linda University School of Dentistry offering CE courses for oral health professionals.,School of Dentistry | Loma Linda University,https://dentistry.llu.edu/continuing-education/lecture-courses,dentistry.llu.edu,"Welcome to Loma Linda University School of Dentistry Continuing Education. We are pleased to offer our programs to all oral health professionals, ..."
MUSC , True , The James B. Edwards College of Dental Medicine at the Medical University of South Carolina Edwards College of Dental Medicine offers continuing education courses for practicing dentists and oral health care team members.,The James B. Edwards College of Dental Medicine | MUSC,https://dentistry.musc.edu/students-and-admissions/ces,dentistry.musc.edu,Edwards College of Dental Medicine offers continuing education courses designed to provide practicing dentists and oral health care team members with both ...
OSU College of Dentistry , True ," Offering CE courses for dentists and dental hygienists, with a total of 16 hours required for each beginning April 2023.",OSU College of Dentistry,https://dentistry.osu.edu/sterilization-monitoring-service/sms-continuing-education,dentistry.osu.edu,"Effective April 2023*, the total CE hours required by the OSDB has been reduced for dentists and hygienists. Earn 16 of 30 required credits as a dentist and 16 ..."
OU College of Dentistry , True , Oklahoma University College of Dentistry providing CE courses for dental professionals.,OU College of Dentistry > Home,https://dentistry.ouhsc.edu/CE,dentistry.ouhsc.edu,The OU College of Dentistry provides classroom and clinical space for several of the Oklahoma Dental Foundation's continuing education courses for dental ...
SBU SDM , True , School of Dental Medicine at Stony Brook University providing continuing education courses for dentists and dental professionals.,Welcome to the School of Dental Medicine | Stony Brook University School of Dental Medicine,https://dentistry.stonybrookmedicine.edu/coned,dentistry.stonybrookmedicine.edu,"Continuing Education · to maintain and improve clinical competency of dentists and dental professionals and thereby patient care; · to deliver contemporary, ..."
Texas A&M School of Dentistry , True , College offering CE courses for dentists and dental hygienists provided by faculty.,Texas A&M School of Dentistry,https://dentistry.tamu.edu/ce/index.html,dentistry.tamu.edu,"Lectures, seminars and electronic distance learning about topics of current interest to dentists and dental auxiliaries are taught by dental school faculty and ..."
UCLA Dentistry , True , Academic division of University of California at Los Angeles offering on-demand self study courses to meet the mandatory continuing education requirements set by California Dental Board.,Home | UCLA Dentistry,https://dentistry.ucla.edu/course/2414,dentistry.ucla.edu,"Jan 1, 2023 — California Dental Board Mandatory CE Courses - (On-Demand Self Study) · Schedule II Opioids • CA Dental Practice Act • CA Infection Control."
UIowa , True , University of Iowa College of Dentistry and Dental Clinics offers a wide range of continuing education courses for dentists to fulfill professional requirements.,College of Dentistry and Dental Clinics | The University of Iowa,https://dentistry.uiowa.edu/ce,dentistry.uiowa.edu,The University of Iowa College of Dentistry and Dental Clinics offers a wide range of continuing education courses for dentists to fulfill professional ...
Continuing Education , True , Professional growth opportunities and quality lifelong learning educational opportunities for dentists and dental hygienists.,,https://dentistry.uky.edu/continuing-education,dentistry.uky.edu,"Feb 10, 2023 — Our mission is to provide professional growth opportunities and quality lifelong learning educational opportunities for dentists, dental ..."
UMKC , True , Dental school at the University of Missouri-Kansas City offering CE courses for dentists and dental hygienists.,School of Dentistry,https://dentistry.umkc.edu/continuing-education/,dentistry.umkc.edu,Our Continuing Education programs are designed to meet the educational needs of working dental hygienists and dentists. UMKC School of Dentistry is a partner ...
Adams School of Dentistry , True , UNC-Chapel Hill Adams School of Dentistry offers continuing education courses for dentists and dental hygienists.,Home - Adams School of Dentistry : Adams School of Dentistry,https://dentistry.unc.edu/ce/,dentistry.unc.edu,This continuing education program is presented by the UNC-Chapel Hill Adams School of Dentistry and the Continuing Dental Education program. The Continuing ...
WVU , True ," West Virginia University Professional continuing education opportunities for dentists, dental hygienists and auxiliary personnel through the state.",Home | School of Dentistry | West Virginia University,https://dentistry.wvu.edu/continuing-education/,dentistry.wvu.edu,"Professional continuing education opportunities are provided for dentists, dental hygienists and auxiliary personnel throughout the state to continually ..."
DimDH , True , Magazine for registered dental hygienists offering CE courses to help patients with advanced treatments.,Dimensions of Dental Hygiene Magazine for Registered Dental Hygienists,https://dimensionsofdentalhygiene.com/ce/ce-courses/,dimensionsofdentalhygiene.com,Help Your Patients Achieve a Beautiful Smile · Treating Patients With Postural Orthostatic Tachycardia Syndrome · Expanding Applications for Dental Implants.
DSPS , True ," Continuing education provider for dental professionals, offering courses in topics such as dental anatomy, clinical skills, and ethics.",DSPS                                       Home,https://dsps.wi.gov/Pages/Professions/Dentist/CE.aspx,dsps.wi.gov,"Dentist Continuing Education – New Requirement ... CE courses must be sponsored or recognized by local, state, regional, national, or international dental ..."
Glidewell , True ," Dental laboratory offering products, services and continuing education courses for dental professionals.","Glidewell - Dental Lab Services, Products & Dental CE",https://glidewelldental.com/education/courses/online-courses,glidewelldental.com,"The dental industry is changing fast. The expansion of DSOs, penetration of PPOs, oversupply of dentists in the United States, decreased demand for dental ..."
Glidewell Direct , True ," Buy dental lab products, equipment, and provide dental professionals impactful, modern implant and restorative dentistry courses.",Glidewell Direct - Buy Dental Lab Products - Buy Dental Equipment,https://glidewelldirect.com/collections/education,glidewelldirect.com,"Glidewell Clinical Education provides dental professionals with impactful, ... modern implant and restorative dentistry, with hands-on courses and in-depth ..."
CMEList , True ," Provider of online, conferences, and board review CE courses to fulfill Continuing Education credits for dentists and dental hygienists.","Online CME, Conferences, & Board Review Courses - CMEList",https://www.cmelist.com/dentistry-cme/,www.cmelist.com,"Dec 15, 2018 — Are you a busy Dentist needing to fulfill your continuing education credits? Then check out our online Dentistry CE courses."
IUPUI , True ," Indiana University School of Dentistry: IUPUI In the Office of Continuing Education, providing CE courses for dentists and allied dental professionals.",Indiana University School of Dentistry: IUPUI,https://dentistry.iu.edu/continuing-education/ce_courses/index.html,dentistry.iu.edu,In the Office of Continuing Education we offer a variety of professional education opportunities for dentists and allied dental professionals to expand their ...
Today's RDH , True ," Dental CE Courses Quality, peer-reviewed, CE courses for dental hygienists and other dental professionals. All courses are available to take any time, on-demand.",Today's RDH Dental CE Courses | Today's RDH Dental CE Courses,https://dentalce.todaysrdh.com/,dentalce.todaysrdh.com,"Quality, peer-reviewed, CE courses for dental hygienists and other dental professionals. All courses are available to take any time, on-demand."
Harvard Dental , True ," Harvard School of Dental Medicine Webinar via Zoom. Register for course. Speaker: Dr. Laura Dempster Professor in Dental Education Research University of Toronto, Faculty of Dentistry.",Harvard School of Dental Medicine,https://hsdm.harvard.edu/news-and-events/continuing-education,hsdm.harvard.edu,"Webinar via Zoom. Register for course. Speaker: Dr. Laura Dempster Professor in Dental Education Research University of Toronto, Faculty of Dentistry."
DACE , True , Dental Academy of Continuing Education offering CE courses for dentists and dental hygienists to aid in the global recognition of coronary vasospasm and safe patient treatments.,Dental Academy of Continuing Education,https://dentalacademyofce.com/,dentalacademyofce.com,Knowledge expansion of dentists and dental hygienists for patients with coronary vasospasm is crucial in globally recognizing this condition and safely treating ...
AEI , True ," Continuing Education Courses for Medical, Legal & Dental Courses & Schedules.","AEI - Continuing Education Courses for Medical, Legal & Dental",https://aeiseminars.com/,aeiseminars.com,Courses & Schedules ... Select either The Medical-Dental-Legal Update or The Dental Update and decide whether you would like to attend Monday-Friday or Thursday- ...
BDG Think Tank , True ," Las Vegas, NV based dental CE company offering Soft Tissue Surgery Course with Dr. Ricardo Kern and Lateralization & Transposition with Dr. Pedro Barreiros.","BDG Think Tank | Dental CE Courses in Las Vegas, NV – BDGThinkTank",https://bdgthinktank.com/,bdgthinktank.com,"Dental CE Courses ; Soft Tissue Surgery Course with Dr. Ricardo Kern · $4,750.00 ; Lateralization & Transposition with Dr. Pedro Barreiros · $8,499.00 ; Take this ..."
Heartland Dental , True ," US based dental support organization offering services and CE courses to supported dentists, enabling them to become leaders in their markets.",Heartland Dental Blog,https://blog.heartland.com/heartland-dental-continuing-education-classes,blog.heartland.com,This program helps supported dentists of all experience levels become the definitive dental leaders in their respective marketplaces. The DMP consists of ...
CDAA , True , California Dental Assistants Association offering CE courses designed specifically for dental assistants.,California Dental Assistants Association – CDAA,https://cdaaweb.org/continuing-education/,cdaaweb.org,"Welcome to our CE courses, which are designed specifically for dental assistants – to help you learn, grow and become more valuable!"
Rutgers Dental | , True , Rutgers School of Dental Medicine offering CE courses for dentists and hygienists in New Jersey.,Continuing Dental Education | Rutgers School of Dental Medicine,https://cde.sdm.rutgers.edu/,cde.sdm.rutgers.edu,"The New Jersey Board of Dentistry requires, for every license renewal period, 40 hours of continuing education for licensed dentists in NJ. This 40 hours now ..."
CDEWorld , True ," CDEWorld offers continuing education opportunities for dental professionals such as dentists, dental hygienists, dental assistants, and lab technicians.",Home of Continuing Education for Dental | CDEWorld,https://cdeworld.com/,cdeworld.com,CDEWorld Continuing Dental Education Logo. CDEWorld Continuing Dental Education Mobile Logo. Courses ▷ · Dentist · Hygienist · Dental Assistant · Lab Tech.
UF , True ," University of Florida College of Dentistry, offering various CE courses for dentists and dental hygienists.",Continuing Dental Education » College of Dentistry » University of Florida,https://ce.dental.ufl.edu/courses/,ce.dental.ufl.edu,"Advanced Certifications & Practice Management · Dental Assistant & Hygienist · Endodontics · Football Championship CE Series · Implant Dentistry · Live Webinars, ..."
Mayo Clinic SCPD , True , Mayo Clinic School of Continuous Professional Development offering CE courses for dentists and dental hygenists.,Mayo Clinic School of Continuous Professional Development,https://ce.mayo.edu/dental-specialties/group/dental-specialties,ce.mayo.edu,"Mayo Clinic offers engaging and diverse dental specialties continuing medical education (CME) that includes live courses and conferences, podcasts, ..."
 Clinical Mastery Series , True ," Clinical Mastery Series provides dental CME courses, workshops, and retreats, helping dental professionals stay up-to-date and improve their craft.",Dental Continuing Education | Clinical Mastery Series,https://clinicalmastery.com/,clinicalmastery.com,"Dental Continuing Education ... Not Sure Where to Start? Explore Clinical Mastery Series' Courses, Workshops, & Retreats! ... U01: Mastering Functional Dentistry."
CMDA , True , Christian Medical & Dental Associations dedicated to providing continuing education courses for dentists and dental hygienists.,Home – Christian Medical & Dental Associations® (CMDA),https://cmda.org/continuing-education/,cmda.org,The Christian Medical & Dental Associations is designated as an Approved PACE Program Provider by the Academy of General Dentistry. The formal continuing ...
DAOC , True ," A Dental Assistant School in Chicago providing Continuing Education courses such as Coronal polishing, Dental X-rays, and Intra Oral Imaging.",Dental Assistant School In Chicago - DAOC: Dental Assistant Training,https://daoc.edu/continuing-education/,daoc.edu,Continuing Education Courses. Register Online Now ... Coronal polishing CE course ... Dental Xrays and Intra Oral Imaging.
UB School of Dental Medicine , True ," University at Buffalo School of Dental Medicine, offering high-quality Continuing Dental Education (CDE) programs to meet professionals' needs.",School of Dental Medicine - School of Dental Medicine - University at Buffalo,https://dental.buffalo.edu/education/continuing-education.html,dental.buffalo.edu,"... Education (CDE) from the UB School of Dental Medicine. Here, you will find high-quality programs to meet your professional needs. View Complete Course ..."
CDM NSU , True ," College of Dental Medicine at Nova Southeastern University offers CE courses for the Health Care Team, dentists, and dental hygienists.",College of Dental Medicine | Nova Southeastern University,https://dental.nova.edu/ce/courses/index.html,dental.nova.edu,"Please note, Health Care Team category is designated for non-dentists working in a dental office or dental industry. View CE Courses."
NYUCD , True , NYU College of Dentistry provides CE courses for lifelong learners in the oral health professions.,NYU College of Dentistry,https://dental.nyu.edu/ce.html,dental.nyu.edu,Continuing Dental Education ... NYU Dentistry provides many opportunities for lifelong learners in the oral health professions to improve clinical and ...
 Arthur A. Dugoni SOD | Pacific , True , University of the Pacific's Arthur A. Dugoni School of Dentistry offers Continuing Education (CE) courses for dentists and dental hygienists.,Arthur A. Dugoni School of Dentistry | University of the Pacific,https://dental.pacific.edu/dental/continuing-education,dental.pacific.edu,Learning is a lifelong journey that continues after graduation from dental school. Our goal at the Arthur A. Dugoni School of Dentistry is to provide you ...
Touro CDM , True ," Touro College of Dental Medicine, a division of Touro University offering CE courses for dentists and dental hygienists.",Touro College of Dental Medicine | Touro University,https://dental.touro.edu/continuing-education/,dental.touro.edu,"Continuing Education - Touro College of Dental Medicine, a division of Touro ... We also offer hands-on courses involving clinical simulation and ..."
UDM , True , University of Detroit Mercy School of Dentistry offering CE courses for dentists and dental hygienists.,School of Dentistry | University of Detroit Mercy,https://dental.udmercy.edu/ce/index.php,dental.udmercy.edu,"The Institute for Advanced Continuing Dental Education at the University of Detroit Mercy School of Dentistry offers quality evidence-based, clinically relevant ..."
UNM Health Sciences Center , True ," Department committed to providing CDE for dental hygienists, dentists, technicians, and assistants.",UNM Health Sciences Center,https://hsc.unm.edu/medicine/departments/dental-medicine/continuing-dental-education/,hsc.unm.edu,"The department is committed to providing continuing dental education (CDE) to practicing dental hygienists, dentists, dental technicians and dental assistants ..."
College of Health Professions , True ," Online course providing the required CE credits for dental care professionals, always open and available.",College of Health Professions,https://healthprofessions.uams.edu/programs/dentalhygiene/dental-hygiene-ce-courses/,healthprofessions.uams.edu,Completion fulfills the required continuing education credits for dental health care workers. Course is fully on-line and always open. Note: Course opens 1/15/ ...
igniteDDS , True , Online dental CE provider offering international courses to support ongoing development and growth of dental professionals.,Dental Community & Continuing Education for Practice Growth | igniteDDS,https://ignitedds.com/2021/10/dental-continuing-education-10-websites-where-dentists-can-earn-free-ce/,ignitedds.com,Dental Continuing Education: 10 Websites Where Dentists Can Earn Free CE · 1. Academy of General Dentistry · 2. Benco Dental · 3. Colgate Oral Health Network · 4.
DCE , True ," DCE provides dental CE courses, supplies, and patient care 2-day/weekend courses for dentists and dental hygienists.","Dental Continuing Education Courses, Supplies, and Patient Care",https://stevensondentalsolutions.com/product-category/dental-courses/dental-ce-hands-on-courses/,stevensondentalsolutions.com,2-Day/Weekend Courses: These are our most frequent dental CE hands-on courses for dentists. We often hold these classes throughout the weekend to avoid ...
Dawson Academy , True ," Provider of continuing education courses for dentists and dental hygienists, specializing in a programmed approach to diagnosing and treatment planning.","Dental Continuing Education, Online Dental CE | Dawson Academy",https://thedawsonacademy.com/event/treatment-planning-29/,thedawsonacademy.com,This dental ce course in November 2019 provides a programmed approach to predictably diagnose and treatment plan both simple to extremely difficult cases.
Transcend Dental Education , True ," Online dental CE courses and digital dentistry training company, offering advanced learning with live-patient procedures.",Online Dental CE Courses | Digital Dentistry Training | Transcend Dental Education,https://transcendde.com/,transcendde.com,transcend dental education Learning Elevated Learn digital dentistry in a real-world clinical setting with live-patient procedures. We offer the most advanced ...
UC Blue Ash College , True , University of Cincinnati college offering CE courses for dental hygienists and dentists.,UC Blue Ash College | University of Cincinnati,https://ucblueash.edu/academics/majors/health-care/dental-hygiene/continuing-education-courses.html,ucblueash.edu,This course has been designed for both dental hygienists and dentists to learn about and experience hands on biofilm removal using low abrasive powder air ...
DW2023 , True , Online CE courses offered by Viva Learning Free Live Dental CE Webinars.,Dental Webinars 2023 - Free Online CE Courses | Viva Learning,https://vivalearning.com/,vivalearning.com,Free Live Dental CE Webinars. Showing Next 3 Upcoming · One-Visit Solutions: CAD/CAM Indirect Hybrid Blocks ; On-Demand CE Webinars. Showing 3 Newest · OSHA and ...
EventRsvp ADA CERP , True , Service of the American Dental Association offering continuing dental education courses for dentists and other dental practitioners.,EventRsvp,https://web.cvent.com/event/6d2620a1-832e-4a24-97c8-3a162e1fee03,web.cvent.com,ADA CERP is a service of the American Dental Association to assist dental professionals in identifying quality providers of continuing dental education. ADA ...
WLA Dental , True ," Offers CE courses for dentists and dental hygienists, providing information on infection control, OSHA, California Dental Practice Act, ethics, and more.",WLA Dental | WLADS Dental,https://westernlads.org/product-category/ce-course/,westernlads.org,CE Course. Showing all 5 results ... Dental Infection Control / OSHA & California Dental Practice Act and Ethics ... New Dentist & Student Roundtable.
3M℠ Health Care Academy , True ," An online platform offering dental on-demand continuing education (CE) courses for dentists and dental hygienists, requiring a log in.",,https://www.3m.com/3M/en_US/dental-us/education/,www.3m.com,Dental On-Demand Continuing Education (CE) Courses are offered via 3M℠ Health Care Academy online platform and require a log in. If this is your first time ...
A-dec , True ," Leading provider of innovative dental products, services, and continuing education courses for dentists and hygienists.",,https://www.a-dec.com/education,www.a-dec.com,A-dec dental continuing education provides online and in-person CE courses for dentists and dental staff. Learn more about our current class offerings below.
ContinuingEdCourses.com , True ," Online provider of continuing education (CE) courses for dentists, dental hygienists, and dental assistants.","Live, real-time, interactive, accredited dental CE webinars – participate in live courses online",https://www.aces4ce.com/illinois-online-ce-dental-webcast-dental-continuing-education-courses/,www.aces4ce.com,"Dentists, hygienists and RDAs - keeping up with state-mandated Illinois dental continuing education requirements is more convenient and affordable than ever ..."
ADA , True ," Home of the American Dental Association, providing cutting-edge CE courses for dentists and dental hygienists.",Home | American Dental Association,https://www.ada.org/en/education/continuing-education,www.ada.org,"The ADA provides cutting-edge, unique continuing education courses (CE courses) that help help dentists improve care, grow their practices, meet licensure ..."
ADSA |  , True , Professional organization providing CE courses for members involved in dental anesthesiology and sedation.,ADSA |  American Dental Society of Anesthesiology,https://www.adsahome.org/chicago-minmod,www.adsahome.org,The American Dental Society of Anesthesiology (ADSA) established the College of Sedation in Dentistry in 2001 to provide for recognition of ADSA members who ...
AGD , True ," Academy of General Dentistry From quality education to the only achievement-based awards in general dentistry, AGD ensures its members stay on top of the latest trends, information, and continuing education courses.",Academy of General Dentistry,https://www.agd.org/my-agd/benefits/continuing-education,www.agd.org,"From quality education to the only achievement-based awards in general dentistry, AGD ensure our members stay on top of the latest trends, information."
Arrowhead Dental Laboratory , True ," Arrowhead Dental Laboratory in Utah, offering dental continuing education courses for dentists and dental hygienists.",Dental Lab in Utah - Arrowhead Dental Laboratory,https://www.arrowheaddental.com/education/new-dentist-ce-plan/,www.arrowheaddental.com,New Dentist CE Plan · Dental Continuing Education Courses for New Dentists · Includes 4 Essential Courses ...
AU DCG , True ," Augusta University College of Dental Medicine Continuing Education Course Offerings, offering ADA CERP approved CE courses for dentists and dental hygienists.",Augusta University,https://www.augusta.edu/dentalmedicine/cde/,www.augusta.edu,DCG CE Course Offerings ... ADA CERP is a service of the American Dental Association to assist dental professionals in identifying quality providers of ...
Arizona Dental Association , True ," Nonprofit membership organization representing Arizona's dentists, dedicated to improving the oral health of all Arizonans. Offers CE courses and promotes compliance with ADA and state mandated continuing dental education requirements.",Arizona Dental Association | American Dental Association,https://www.azda.org/ce-events/ce-requirements,www.azda.org,Dentist CE requirements in Arizona? ... Dentists and dental consultants shall complete 63 hours of recognized continuing dental education in each renewal period ...
GSDM , True ," Boston University Goldman School of Dental Medicine, offering CE courses for dentists and dental personnel.",Homepage | Boston University,https://www.bu.edu/dental/ce/courses/,www.bu.edu,"May 13, 2023, Laser Dentistry from A to Z: An American Board of Laser ... Radiology Certification for Dental Auxiliaries ... GSDM Continuing Education"
ADI , True , Educational provider in Nevada offering CE courses for dentists and related oral health care providers.,"Advanced Dental Institute - Dental CE Courses - Henderson, NV",https://advanceddentalce.org/,advanceddentalce.org,"Advanced Dental Institute will provide the highest quality, clinically relevant courses for dentists and related oral health care providers. These courses will ..."
CCD , True , Community College of Denver offering CE courses for dentists and dental hygienists.,Community College of Denver,https://www.ccd.edu/program/dental-hygiene-center-continuing-education-excellence,www.ccd.edu,We are pleased to offer opportunities for continuing education in the fields of dental hygiene and dentistry! All of our course offerings fulfill the ...
CDA , True ," Non-profit organization providing membership services, educational programs, and advocacy initiatives for California dentists, as well as mandatory CE courses for licensees.",California Dental Association (CDA),https://www.cda.org/Home/Education-and-Events/Ongoing-Education/CE-Requirements,www.cda.org,Mandatory Courses for Licensees · A two-unit course on the responsibilities and requirements of prescribing Schedule II opioids (dentist-only requirement) · A ...
Strupp & Brumm CED , True ," Provider of continuing education courses for dentists, helping dental professionals around the country stay up to date on best practices.",CONTINUING EDUCATION SEMINARS FOR DENTISTS – Strupp and Brumm Continuing Education Seminars For Dentists. Visit Us For Upcoming Seminar Dates and Locations,https://struppbrummseminars.com/dental-ce-courses-florida/,struppbrummseminars.com,"Still, others and their families, have become patients throughout the years. They are truly The Dentists' Dentist! MEET DR. STRUPP."
On-Demand CE , True , On-Demand Continuing Education for Dental Professionals offering free 1-hour webinars on emerging topics.,,https://youngdental.com/continuing-education/on-demand-learning/,youngdental.com,Free on-demand continuing education for dental professionals. 1-hour webinars covering a wide range of emerging topics. Courses updated regularly.
Spear Education , True , Online resources providing continuing education (CE) courses and articles for dentists and dental hygienists.|,Dental Continuing Education Courses |  Online Education | Spear Education,https://online.speareducation.com/,online.speareducation.com,Spear Digest Online resources for dentists who have a passion for learning. New articles provide the latest insights into current issues in dentistry. Message ...
PLS , True ," Professional Learning Services – Quality Education Services for Dental Professionals since 1987, providing ADA CERP Recognized dental continuing education.",Professional Learning Services – Quality Education Services for Dental Professionals since 1987,https://pls.org/,pls.org,PLS is an ADA CERP Recognized Provider of dental continuing education (May 2011 – December 2025). ADA CERP is a service of the American Dental Association to ...
